2017-10-14T22:50:07.230+0800 I CONTROL  [initandlisten] MongoDB starting : pid=15087 port=27017 dbpath=/Users/hds/Documents/blog_demo/db/ 64-bit host=hdsdeMacBook-Pro.local
2017-10-15T10:43:12.092+0800 I NETWORK  [conn20] received client metadata from 127.0.0.1:62595 conn20: { driver: { name: "nodejs", version: "2.2.31" }, os: { type: "Darwin", name: "darwin", architecture: "x64", version: "16.7.0" }, platform: "Node.js v8.4.0, LE, mongodb-core: 2.1.15" }
2017-10-15T10:48:06.135+0800 I -        [conn20] end connection 127.0.0.1:62595 (2 connections now open)
2017-10-15T10:48:08.592+0800 I NETWORK  [thread1] connection accepted from 127.0.0.1:62717 #21 (2 connections now open)
2017-10-15T10:48:08.599+0800 I NETWORK  [conn21] received client metadata from 127.0.0.1:62717 conn21: { driver: { name: "nodejs", version: "2.2.31" }, os: { type: "Darwin", name: "darwin", architecture: "x64", version: "16.7.0" }, platform: "Node.js v8.4.0, LE, mongodb-core: 2.1.15" }
2017-10-15T10:49:30.407+0800 I -        [conn21] end connection 127.0.0.1:62717 (2 connections now open)
2017-10-15T10:49:33.681+0800 I NETWORK  [thread1] connection accepted from 127.0.0.1:62749 #22 (2 connections now open)
2017-10-15T10:49:33.717+0800 I NETWORK  [conn22] received client metadata from 127.0.0.1:62749 conn22: { driver: { name: "nodejs", version: "2.2.31" }, os: { type: "Darwin", name: "darwin", architecture: "x64", version: "16.7.0" }, platform: "Node.js v8.4.0, LE, mongodb-core: 2.1.15" }
2017-10-15T10:52:04.139+0800 I -        [conn22] end connection 127.0.0.1:62749 (2 connections now open)
2017-10-15T10:52:06.759+0800 I NETWORK  [thread1] connection accepted from 127.0.0.1:62851 #23 (2 connections now open)
2017-10-15T10:52:06.771+0800 I NETWORK  [conn23] received client metadata from 127.0.0.1:62851 conn23: { driver: { name: "nodejs", version: "2.2.31" }, os: { type: "Darwin", name: "darwin", architecture: "x64", version: "16.7.0" }, platform: "Node.js v8.4.0, LE, mongodb-core: 2.1.15" }
2017-10-15T10:52:59.459+0800 I -        [conn23] end connection 127.0.0.1:62851 (2 connections now open)
2017-10-15T10:53:01.907+0800 I NETWORK  [thread1] connection accepted from 127.0.0.1:62881 #24 (2 connections now open)
2017-10-15T10:53:01.917+0800 I NETWORK  [conn24] received client metadata from 127.0.0.1:62881 conn24: { driver: { name: "nodejs", version: "2.2.31" }, os: { type: "Darwin", name: "darwin", architecture: "x64", version: "16.7.0" }, platform: "Node.js v8.4.0, LE, mongodb-core: 2.1.15" }
2017-10-15T10:53:36.584+0800 I -        [conn24] end connection 127.0.0.1:62881 (2 connections now open)
2017-10-15T10:53:39.785+0800 I NETWORK  [thread1] connection accepted from 127.0.0.1:62906 #25 (2 connections now open)
2017-10-15T10:53:39.791+0800 I NETWORK  [conn25] received client metadata from 127.0.0.1:62906 conn25: { driver: { name: "nodejs", version: "2.2.31" }, os: { type: "Darwin", name: "darwin", architecture: "x64", version: "16.7.0" }, platform: "Node.js v8.4.0, LE, mongodb-core: 2.1.15" }
2017-10-15T10:54:05.980+0800 I -        [conn25] end connection 127.0.0.1:62906 (2 connections now open)
